age,workclass,education,occupation,native-country,class
39, State-gov, Bachelors, Adm-clerical, United-States, <=50K
50, Self-emp-not-inc, Bachelors, Exec-managerial, United-States, <=50K
38, Private, HS-grad, Handlers-cleaners, United-States, <=50K
53, Private, 11th, Handlers-cleaners, United-States, <=50K
28, Private, Bachelors, Prof-specialty, Cuba, <=50K
37, Private, Masters, Exec-managerial, United-States, <=50K
49, Private, 9th, Other-service, Jamaica, <=50K
52, Self-emp-not-inc, HS-grad, Exec-managerial, United-States, >50K
31, Private, Masters, Prof-specialty, United-States, >50K
42, Private, Bachelors, Exec-managerial, United-States, >50K
37, Private, Some-college, Exec-managerial, United-States, >50K
30, State-gov, Bachelors, Prof-specialty, India, >50K
23, Private, Bachelors, Adm-clerical, United-States, <=50K
32, Private, Assoc-acdm, Sales, United-States, <=50K
34, Private, 7th-8th, Transport-moving, Mexico, <=50K
25, Self-emp-not-inc, HS-grad, Farming-fishing, United-States, <=50K
32, Private, HS-grad, Machine-op-inspct, United-States, <=50K
38, Private, 11th, Sales, United-States, <=50K
43, Self-emp-not-inc, Masters, Exec-managerial, United-States, >50K
40, Private, Doctorate, Prof-specialty, United-States, >50K
54, Private, HS-grad, Other-service, United-States, <=50K
35, Federal-gov, 9th, Farming-fishing, United-States, <=50K
43, Private, 11th, Transport-moving, United-States, <=50K
59, Private, HS-grad, Tech-support, United-States, <=50K
56, Local-gov, Bachelors, Tech-support, United-States, >50K
19, Private, HS-grad, Craft-repair, United-States, <=50K
39, Private, HS-grad, Exec-managerial, United-States, <=50K
49, Private, HS-grad, Craft-repair, United-States, <=50K
23, Local-gov, Assoc-acdm, Protective-serv, United-States, <=50K
20, Private, Some-college, Sales, United-States, <=50K
45, Private, Bachelors, Exec-managerial, United-States, <=50K
30, Federal-gov, Some-college, Adm-clerical, United-States, <=50K
22, State-gov, Some-college, Other-service, United-States, <=50K
48, Private, 11th, Machine-op-inspct, Puerto-Rico, <=50K
21, Private, Some-college, Machine-op-inspct, United-States, <=50K
19, Private, HS-grad, Adm-clerical, United-States, <=50K
48, Self-emp-not-inc, Assoc-acdm, Prof-specialty, United-States, <=50K
31, Private, 9th, Machine-op-inspct, United-States, <=50K
53, Self-emp-not-inc, Bachelors, Prof-specialty, United-States, <=50K
24, Private, Bachelors, Tech-support, United-States, <=50K
49, Private, HS-grad, Adm-clerical, United-States, <=50K
25, Private, HS-grad, Handlers-cleaners, United-States, <=50K
57, Federal-gov, Bachelors, Prof-specialty, United-States, >50K
53, Private, HS-grad, Machine-op-inspct, United-States, <=50K
44, Private, Masters, Exec-managerial, United-States, <=50K
41, State-gov, Assoc-voc, Craft-repair, United-States, <=50K
29, Private, Assoc-voc, Prof-specialty, United-States, <=50K
25, Private, Some-college, Exec-managerial, United-States, <=50K
47, Private, Prof-school, Prof-specialty, Honduras, >50K
50, Federal-gov, Bachelors, Exec-managerial, United-States, >50K
47, Self-emp-inc, HS-grad, Exec-managerial, United-States, <=50K
43, Private, Some-college, Tech-support, United-States, >50K
46, Private, 5th-6th, Machine-op-inspct, Mexico, <=50K
35, Private, Assoc-voc, Other-service, Puerto-Rico, <=50K
41, Private, HS-grad, Adm-clerical, United-States, <=50K
30, Private, HS-grad, Machine-op-inspct, United-States, <=50K
30, Private, Bachelors, Sales, United-States, <=50K
48, Private, HS-grad, Transport-moving, United-States, <=50K
42, Private, Doctorate, Prof-specialty, United-States, >50K
29, Private, Some-college, Tech-support, United-States, <=50K
36, Private, HS-grad, Craft-repair, United-States, <=50K
28, Private, Some-college, Adm-clerical, United-States, <=50K
53, Private, HS-grad, Adm-clerical, United-States, >50K
49, Self-emp-inc, Some-college, Exec-managerial, United-States, >50K
19, Private, Some-college, Prof-specialty, United-States, <=50K
31, Private, Bachelors, Sales, United-States, <=50K
29, Self-emp-not-inc, Bachelors, Sales, United-States, >50K
23, Private, Some-college, Machine-op-inspct, United-States, <=50K
79, Private, Some-college, Prof-specialty, United-States, <=50K
27, Private, HS-grad, Other-service, Mexico, <=50K
40, Private, Assoc-acdm, Adm-clerical, United-States, <=50K
18, Private, 11th, Other-service, United-States, <=50K
31, Local-gov, 7th-8th, Farming-fishing, United-States, <=50K
18, Private, HS-grad, Sales, United-States, <=50K
52, Private, Bachelors, Other-service, Cuba, <=50K
46, Private, HS-grad, Other-service, United-States, <=50K
59, Private, HS-grad, Sales, United-States, <=50K
44, Private, HS-grad, Craft-repair, United-States, >50K
53, Private, HS-grad, Sales, United-States, <=50K
49, Local-gov, HS-grad, Protective-serv, United-States, >50K
33, Private, Masters, Prof-specialty, United-States, <=50K
30, Private, 9th, Sales, United-States, <=50K
43, Federal-gov, Doctorate, Prof-specialty, United-States, >50K
57, Private, Assoc-voc, Prof-specialty, United-States, <=50K
37, Private, Some-college, Craft-repair, United-States, <=50K
28, Private, Some-college, Machine-op-inspct, United-States, <=50K
34, Local-gov, Bachelors, Protective-serv, United-States, >50K
29, Local-gov, Some-college, Handlers-cleaners, United-States, <=50K
48, Self-emp-not-inc, Doctorate, Prof-specialty, United-States, >50K
37, Private, Some-college, Sales, United-States, >50K
