age,workclass,education,occupation,native-country,class
39.0,State-gov,Bachelors,Adm-clerical,United-States,<=50K
50.0,Self-emp-not-inc,Bachelors,Exec-managerial,United-States,<=50K
38.0,Private,HS-grad,Handlers-cleaners,United-States,<=50K
53.0,Private,11th,Handlers-cleaners,United-States,<=50K
28.0,Private,Bachelors,Prof-specialty,Cuba,<=50K
37.0,Private,Masters,Exec-managerial,United-States,<=50K
49.0,Private,9th,Other-service,Jamaica,<=50K
52.0,Self-emp-not-inc,HS-grad,Exec-managerial,United-States,>50K
31.0,Private,Masters,Prof-specialty,United-States,>50K
42.0,Private,Bachelors,Exec-managerial,United-States,>50K
37.0,Private,Some-college,Exec-managerial,United-States,>50K
30.0,State-gov,Bachelors,Prof-specialty,India,>50K
23.0,Private,Bachelors,Adm-clerical,United-States,<=50K
32.0,Private,Assoc-acdm,Sales,United-States,<=50K
40.0,Private,Assoc-voc,Craft-repair,?,>50K
34.0,Private,7th-8th,Transport-moving,Mexico,<=50K
25.0,Self-emp-not-inc,HS-grad,Farming-fishing,United-States,<=50K
32.0,Private,HS-grad,Machine-op-inspct,United-States,<=50K
38.0,Private,11th,Sales,United-States,<=50K
43.0,Self-emp-not-inc,Masters,Exec-managerial,United-States,>50K
40.0,Private,Doctorate,Prof-specialty,United-States,>50K
54.0,Private,HS-grad,Other-service,United-States,<=50K
35.0,Federal-gov,9th,Farming-fishing,United-States,<=50K
43.0,Private,11th,Transport-moving,United-States,<=50K
59.0,Private,HS-grad,Tech-support,United-States,<=50K
56.0,Local-gov,Bachelors,Tech-support,United-States,>50K
19.0,Private,HS-grad,Craft-repair,United-States,<=50K
54.0,?,Some-college,?,South,>50K
39.0,Private,HS-grad,Exec-managerial,United-States,<=50K
49.0,Private,HS-grad,Craft-repair,United-States,<=50K
23.0,Local-gov,Assoc-acdm,Protective-serv,United-States,<=50K
20.0,Private,Some-college,Sales,United-States,<=50K
45.0,Private,Bachelors,Exec-managerial,United-States,<=50K
30.0,Federal-gov,Some-college,Adm-clerical,United-States,<=50K
22.0,State-gov,Some-college,Other-service,United-States,<=50K
48.0,Private,11th,Machine-op-inspct,Puerto-Rico,<=50K
21.0,Private,Some-college,Machine-op-inspct,United-States,<=50K
19.0,Private,HS-grad,Adm-clerical,United-States,<=50K
31.0,Private,Some-college,Sales,?,>50K
48.0,Self-emp-not-inc,Assoc-acdm,Prof-specialty,United-States,<=50K
31.0,Private,9th,Machine-op-inspct,United-States,<=50K
53.0,Self-emp-not-inc,Bachelors,Prof-specialty,United-States,<=50K
24.0,Private,Bachelors,Tech-support,United-States,<=50K
49.0,Private,HS-grad,Adm-clerical,United-States,<=50K
25.0,Private,HS-grad,Handlers-cleaners,United-States,<=50K
57.0,Federal-gov,Bachelors,Prof-specialty,United-States,>50K
53.0,Private,HS-grad,Machine-op-inspct,United-States,<=50K
44.0,Private,Masters,Exec-managerial,United-States,<=50K
41.0,State-gov,Assoc-voc,Craft-repair,United-States,<=50K
29.0,Private,Assoc-voc,Prof-specialty,United-States,<=50K
25.0,Private,Some-college,Exec-managerial,United-States,<=50K
18.0,Private,HS-grad,Other-service,?,<=50K
47.0,Private,Prof-school,Prof-specialty,Honduras,>50K
50.0,Federal-gov,Bachelors,Exec-managerial,United-States,>50K
47.0,Self-emp-inc,HS-grad,Exec-managerial,United-States,<=50K
43.0,Private,Some-college,Tech-support,United-States,>50K
46.0,Private,5th-6th,Machine-op-inspct,Mexico,<=50K
35.0,Private,Assoc-voc,Other-service,Puerto-Rico,<=50K
41.0,Private,HS-grad,Adm-clerical,United-States,<=50K
30.0,Private,HS-grad,Machine-op-inspct,United-States,<=50K
30.0,Private,Bachelors,Sales,United-States,<=50K
32.0,?,7th-8th,?,?,<=50K
48.0,Private,HS-grad,Transport-moving,United-States,<=50K
42.0,Private,Doctorate,Prof-specialty,United-States,>50K
29.0,Private,Some-college,Tech-support,United-States,<=50K
36.0,Private,HS-grad,Craft-repair,United-States,<=50K
28.0,Private,Some-college,Adm-clerical,United-States,<=50K
53.0,Private,HS-grad,Adm-clerical,United-States,>50K
49.0,Self-emp-inc,Some-college,Exec-managerial,United-States,>50K
25.0,?,Some-college,?,United-States,<=50K
19.0,Private,Some-college,Prof-specialty,United-States,<=50K
31.0,Private,Bachelors,Sales,United-States,<=50K
29.0,Self-emp-not-inc,Bachelors,Sales,United-States,>50K
23.0,Private,Some-college,Machine-op-inspct,United-States,<=50K
79.0,Private,Some-college,Prof-specialty,United-States,<=50K
27.0,Private,HS-grad,Other-service,Mexico,<=50K
40.0,Private,Assoc-acdm,Adm-clerical,United-States,<=50K
67.0,?,10th,?,United-States,<=50K
18.0,Private,11th,Other-service,United-States,<=50K
31.0,Local-gov,7th-8th,Farming-fishing,United-States,<=50K
18.0,Private,HS-grad,Sales,United-States,<=50K
52.0,Private,Bachelors,Other-service,Cuba,<=50K
46.0,Private,HS-grad,Other-service,United-States,<=50K
59.0,Private,HS-grad,Sales,United-States,<=50K
44.0,Private,HS-grad,Craft-repair,United-States,>50K
53.0,Private,HS-grad,Sales,United-States,<=50K
49.0,Local-gov,HS-grad,Protective-serv,United-States,>50K
33.0,Private,Masters,Prof-specialty,United-States,<=50K
30.0,Private,9th,Sales,United-States,<=50K
43.0,Federal-gov,Doctorate,Prof-specialty,United-States,>50K
57.0,Private,Assoc-voc,Prof-specialty,United-States,<=50K
37.0,Private,Some-college,Craft-repair,United-States,<=50K
28.0,Private,Some-college,Machine-op-inspct,United-States,<=50K
30.0,Private,HS-grad,Sales,?,<=50K
34.0,Local-gov,Bachelors,Protective-serv,United-States,>50K
29.0,Local-gov,Some-college,Handlers-cleaners,United-States,<=50K
48.0,Self-emp-not-inc,Doctorate,Prof-specialty,United-States,>50K
37.0,Private,Some-college,Sales,United-States,>50K
48.0,Private,Assoc-acdm,Exec-managerial,England,<=50K
32.0,Federal-gov,HS-grad,Other-service,United-States,<=50K
76.0,Private,Masters,Exec-managerial,United-States,>50K
44.0,Private,Bachelors,Exec-managerial,United-States,>50K
47.0,Self-emp-not-inc,Masters,Prof-specialty,United-States,<=50K
20.0,Private,Some-college,Tech-support,United-States,<=50K
29.0,Private,HS-grad,Craft-repair,United-States,<=50K
32.0,Self-emp-inc,HS-grad,Craft-repair,United-States,>50K
17.0,?,10th,?,United-States,<=50K
30.0,Private,11th,Handlers-cleaners,United-States,<=50K
31.0,Local-gov,HS-grad,Adm-clerical,United-States,<=50K
42.0,Private,HS-grad,Handlers-cleaners,United-States,<=50K
24.0,Private,Bachelors,Sales,United-States,<=50K
38.0,Private,Prof-school,Prof-specialty,United-States,>50K
56.0,Self-emp-not-inc,HS-grad,Other-service,Canada,>50K
28.0,Private,Some-college,Sales,United-States,<=50K
36.0,Private,HS-grad,Machine-op-inspct,United-States,<=50K
53.0,Private,9th,Handlers-cleaners,United-States,<=50K
56.0,Self-emp-inc,Some-college,Sales,United-States,<=50K
49.0,Local-gov,Assoc-voc,Craft-repair,United-States,>50K
55.0,Private,Some-college,Sales,United-States,<=50K
22.0,Private,HS-grad,Craft-repair,United-States,<=50K
21.0,Private,Some-college,Other-service,United-States,<=50K
40.0,Private,Bachelors,Exec-managerial,United-States,<=50K
30.0,Private,Bachelors,Exec-managerial,Germany,<=50K
29.0,State-gov,Bachelors,Prof-specialty,United-States,>50K
19.0,Private,Some-college,Other-service,United-States,<=50K
47.0,Private,Bachelors,Exec-managerial,United-States,>50K
20.0,Private,Some-college,Adm-clerical,United-States,<=50K
31.0,Private,Assoc-acdm,Adm-clerical,United-States,>50K
35.0,?,HS-grad,?,United-States,<=50K
39.0,Private,Some-college,Craft-repair,United-States,<=50K
28.0,Private,Assoc-acdm,Sales,United-States,<=50K
24.0,Private,HS-grad,Other-service,United-States,<=50K
38.0,Self-emp-not-inc,HS-grad,Craft-repair,United-States,<=50K
37.0,Private,Bachelors,Sales,United-States,<=50K
46.0,Private,Assoc-acdm,Tech-support,United-States,<=50K
38.0,Federal-gov,Masters,Prof-specialty,Iran,>50K
43.0,Self-emp-not-inc,HS-grad,Craft-repair,United-States,<=50K
27.0,Private,Assoc-voc,Adm-clerical,United-States,<=50K
20.0,Private,Some-college,Sales,United-States,<=50K
49.0,Private,Some-college,Craft-repair,United-States,>50K
61.0,Self-emp-inc,HS-grad,Craft-repair,United-States,<=50K
27.0,Private,Some-college,Sales,United-States,<=50K
19.0,Private,Some-college,Other-service,Mexico,<=50K
45.0,Private,Assoc-voc,Prof-specialty,United-States,>50K
70.0,Private,Some-college,Tech-support,United-States,<=50K
31.0,Private,HS-grad,Transport-moving,United-States,<=50K
22.0,Private,Some-college,Other-service,United-States,<=50K
36.0,Private,HS-grad,Other-service,United-States,<=50K
64.0,Private,11th,Craft-repair,United-States,<=50K
43.0,?,Some-college,?,United-States,<=50K
47.0,Local-gov,Some-college,Adm-clerical,Mexico,<=50K
34.0,Private,HS-grad,Adm-clerical,United-States,<=50K
33.0,Private,Bachelors,Exec-managerial,Philippines,<=50K
21.0,Private,HS-grad,Craft-repair,United-States,<=50K
52.0,?,HS-grad,?,United-States,>50K
48.0,Private,HS-grad,Craft-repair,United-States,<=50K
23.0,Private,Bachelors,Handlers-cleaners,United-States,<=50K
71.0,Self-emp-not-inc,Some-college,Sales,United-States,<=50K
29.0,Private,HS-grad,Craft-repair,United-States,<=50K
42.0,Private,Bachelors,Other-service,United-States,<=50K
68.0,?,1st-4th,?,United-States,<=50K
25.0,Private,HS-grad,Other-service,United-States,<=50K
44.0,Self-emp-inc,Masters,Exec-managerial,United-States,<=50K
28.0,Private,HS-grad,Exec-managerial,England,<=50K
45.0,Self-emp-not-inc,Masters,Sales,United-States,>50K
36.0,Private,Some-college,Other-service,Mexico,<=50K
39.0,Federal-gov,Assoc-acdm,Exec-managerial,United-States,<=50K
46.0,State-gov,Masters,Protective-serv,United-States,<=50K
18.0,Private,11th,Handlers-cleaners,United-States,<=50K
66.0,Local-gov,Assoc-voc,Prof-specialty,United-States,<=50K
27.0,Private,HS-grad,Other-service,United-States,<=50K
28.0,State-gov,HS-grad,Protective-serv,United-States,<=50K
51.0,Private,Some-college,Sales,United-States,>50K
27.0,Private,Bachelors,Craft-repair,United-States,<=50K
28.0,State-gov,Bachelors,Prof-specialty,United-States,>50K
27.0,Private,HS-grad,Sales,United-States,<=50K
21.0,Private,HS-grad,Craft-repair,United-States,<=50K
34.0,Private,HS-grad,Handlers-cleaners,United-States,<=50K
18.0,Private,HS-grad,Other-service,United-States,<=50K
33.0,Private,Bachelors,Prof-specialty,United-States,<=50K
44.0,Local-gov,Some-college,Exec-managerial,United-States,>50K
43.0,Private,Some-college,Adm-clerical,United-States,<=50K
30.0,Private,Some-college,Craft-repair,United-States,<=50K
